Student_ID,Name,Gender,District,Schooling_Type,Internet_Access,Parental_Education_Level,Scholarship_Status,Extracurricular_Participation,Residence_Type,School_Medium,Education_System,Transport_Mode,Attendance_Percentage,Study_Hours_per_Week,CGPA,Assignment_Average,Quiz_Average,Mid_Marks,Final_Marks,Final_Exam_Status,Submission_Date
146,Bilal Raza,Male,Peshawar,Private,No,PhD,Yes,Debate Club,Rural,Urdu Medium,Sindh Board,Own Vehicle,99,4,3.98,48.83,81.69,46,96,Pass,2024-09-25
147,Kamran Khan,Male,Sialkot,Private,No,Primary,Yes,None,Rural,Urdu Medium,Sindh Board,School Bus,100,4,3.68,94.61,56.88,40,74,Fail,2023-02-19
148,Amna Awan,Female,Peshawar,Madrasa,No,Masters,No,None,Urban,Urdu Medium,Federal Board,Public Transport,96,24,3.39,91.67,74.15,68,91,Fail,2025-10-19
149,Laiba Chaudhry,Female,Sialkot,Madrasa,Yes,Primary,Yes,Arts Society,Rural,Urdu Medium,Cambridge System,Own Vehicle,68,12,2.59,91.79,42.67,45,98,Pass,2024-05-29
150,Noor Butt,Female,Quetta,Home Schooling,Yes,Intermediate,No,None,Urban,English Medium,Cambridge System,School Bus,72,18,2.77,93.65,61.61,92,79,Pass,2024-01-07
151,Ayesha Qureshi,Female,Islamabad,Public,Yes,Intermediate,No,Multiple Activities,Urban,Urdu Medium,Sindh Board,Walking,59,20,2.13,58.87,46.21,68,43,Pass,2023-07-07
152,Talha Butt,Male,Faisalabad,Home Schooling,Yes,PhD,No,Multiple Activities,Urban,English Medium,Federal Board,School Bus,84,7,2.49,94.53,54.15,87,66,Pass,2023-02-24
153,Zainab Shah,Female,Sialkot,Home Schooling,No,Primary,Yes,Sports,Urban,English Medium,Cambridge System,School Bus,78,11,2.58,63.05,79.7,91,91,Pass,2025-09-24
154,Adeel Chaudhry,Male,Quetta,Public,Yes,Matric,No,Multiple Activities,Rural,English Medium,Sindh Board,Public Transport,71,2,3.47,80.32,66.43,41,85,Fail,2024-11-30
155,Rehan Shah,Male,Islamabad,Public,No,Intermediate,Yes,Sports,Rural,Urdu Medium,Federal Board,Own Vehicle,56,9,2.11,83.77,56.17,87,50,Fail,2023-09-01
156,Shayan Shah,Male,Islamabad,Madrasa,No,PhD,No,Multiple Activities,Urban,English Medium,Punjab Board,Public Transport,96,26,2.96,53.0,77.22,86,58,Pass,2024-06-10
157,Bushra Sheikh,Female,Lahore,Madrasa,Yes,Intermediate,Yes,Volunteer Work,Rural,Urdu Medium,Cambridge System,Own Vehicle,70,6,2.95,65.1,61.58,57,69,Pass,2024-12-21
158,Danish Qureshi,Male,Quetta,Home Schooling,No,Matric,Yes,None,Urban,English Medium,Punjab Board,Own Vehicle,81,11,3.59,57.01,72.59,46,63,Pass,2024-12-02
159,Maha Iqbal,Female,Lahore,Madrasa,Yes,Matric,No,Arts Society,Urban,English Medium,Punjab Board,School Bus,98,10,2.76,68.64,45.69,87,68,Pass,2023-07-04
160,Hira Qureshi,Female,Gujranwala,Home Schooling,No,PhD,Yes,Sports,Urban,English Medium,Federal Board,Public Transport,78,7,2.86,55.28,50.42,74,84,Pass,2024-08-23
161,Hassan Khan,Male,Lahore,Madrasa,Yes,PhD,No,Volunteer Work,Rural,Urdu Medium,Punjab Board,Walking,67,3,3.7,85.07,68.06,85,50,Pass,2025-02-17
162,Zeeshan Qureshi,Male,Quetta,Home Schooling,No,Primary,Yes,Multiple Activities,Rural,English Medium,Sindh Board,Public Transport,70,5,2.8,45.69,44.22,99,92,Pass,2024-03-31
163,Noor Iqbal,Female,Rawalpindi,Public,Yes,Matric,No,Debate Club,Urban,Urdu Medium,Federal Board,Walking,86,24,2.57,84.57,52.13,92,42,Pass,2024-12-01
164,Sara Awan,Female,Karachi,Home Schooling,Yes,Primary,Yes,None,Urban,Urdu Medium,Federal Board,Walking,71,5,2.97,75.19,58.62,63,43,Pass,2025-11-27
165,Adeel Butt,Male,Gujranwala,Madrasa,Yes,Masters,No,Multiple Activities,Urban,Urdu Medium,Punjab Board,Own Vehicle,74,4,4.0,87.8,57.6,78,64,Fail,2024-11-15
166,Adnan Awan,Male,Multan,Private,Yes,PhD,No,Arts Society,Urban,English Medium,Punjab Board,Walking,61,19,3.4,65.18,73.7,97,52,Fail,2024-02-01
167,Kiran Khan,Female,Lahore,Madrasa,No,Matric,No,Debate Club,Urban,English Medium,Sindh Board,Walking,95,17,3.62,52.05,81.7,48,61,Fail,2023-06-19
168,Hamza Sheikh,Male,Peshawar,Private,Yes,Masters,Yes,None,Urban,English Medium,Cambridge System,School Bus,100,30,3.69,50.61,60.16,52,60,Pass,2024-11-11
169,Farhan Shah,Male,Multan,Home Schooling,Yes,Uneducated,No,None,Rural,English Medium,Federal Board,Walking,77,26,3.35,47.88,73.39,56,79,Pass,2025-03-26
170,Mehak Shah,Female,Quetta,Madrasa,No,Uneducated,Yes,Sports,Rural,English Medium,Punjab Board,Public Transport,90,8,2.09,75.98,68.07,55,44,Fail,2025-09-13
171,Fatima Raza,Female,Sialkot,Madrasa,No,Uneducated,No,Volunteer Work,Rural,Urdu Medium,Punjab Board,Own Vehicle,90,16,3.83,54.52,40.83,69,80,Pass,2025-04-10
172,Hassan Shah,Male,Quetta,Public,Yes,Uneducated,No,Sports,Urban,Urdu Medium,Federal Board,Public Transport,76,12,2.71,68.38,79.53,45,71,Pass,2025-05-02
173,Noor Butt,Female,Faisalabad,Madrasa,No,Matric,Yes,Debate Club,Urban,Urdu Medium,Federal Board,Own Vehicle,98,2,3.19,60.33,84.55,89,78,Pass,2024-06-05
174,Talha Chaudhry,Male,Peshawar,Home Schooling,Yes,Matric,Yes,Debate Club,Urban,English Medium,Punjab Board,School Bus,91,13,2.4,62.19,86.22,64,73,Pass,2024-04-29
175,Sana Qureshi,Female,Rawalpindi,Public,No,Bachelors,No,Multiple Activities,Urban,English Medium,Sindh Board,Own Vehicle,62,2,2.66,53.87,84.78,85,85,Fail,2025-11-07
176,Maha Raza,Female,Gujranwala,Public,No,Intermediate,Yes,Debate Club,Urban,English Medium,Sindh Board,Own Vehicle,57,12,3.36,75.72,72.49,76,74,Pass,2025-05-23
177,Maryam Shah,Female,Faisalabad,Public,Yes,Uneducated,No,Debate Club,Rural,Urdu Medium,Cambridge System,School Bus,81,11,3.02,72.41,78.15,41,70,Pass,2025-07-20
178,Alina Chaudhry,Female,Multan,Private,Yes,Masters,Yes,Volunteer Work,Urban,English Medium,Punjab Board,Public Transport,58,2,2.09,66.88,49.36,69,80,Pass,2024-05-06
179,Bushra Chaudhry,Female,Quetta,Private,Yes,Primary,Yes,Arts Society,Urban,English Medium,Sindh Board,School Bus,83,13,2.02,66.96,84.98,43,83,Pass,2024-02-18
180,Laiba Chaudhry,Female,Multan,Home Schooling,No,Intermediate,No,Volunteer Work,Urban,English Medium,Cambridge System,Walking,64,18,3.99,65.2,76.49,52,69,Fail,2024-06-07
181,Omer Iqbal,Male,Islamabad,Madrasa,Yes,PhD,No,Volunteer Work,Rural,English Medium,Cambridge System,Public Transport,62,6,3.76,56.93,68.49,83,48,Fail,2025-08-15
182,Talha Shah,Male,Sialkot,Madrasa,Yes,Uneducated,Yes,Multiple Activities,Rural,English Medium,Sindh Board,Public Transport,77,16,2.85,46.54,40.39,52,75,Pass,2024-04-25
183,Talha Malik,Male,Karachi,Public,Yes,Intermediate,No,Arts Society,Rural,English Medium,Cambridge System,School Bus,73,27,3.53,84.73,47.27,45,49,Fail,2024-12-21
184,Bilal Qureshi,Male,Faisalabad,Madrasa,No,PhD,No,Arts Society,Rural,Urdu Medium,Cambridge System,School Bus,98,23,3.75,66.92,84.31,61,44,Fail,2024-09-25
185,Ayesha Butt,Female,Sialkot,Private,Yes,Primary,Yes,None,Urban,English Medium,Cambridge System,School Bus,95,4,3.98,86.98,46.99,76,85,Pass,2025-09-02
186,Mehak Awan,Female,Karachi,Madrasa,No,Uneducated,No,Arts Society,Urban,Urdu Medium,Sindh Board,School Bus,96,19,2.13,80.92,84.92,57,43,Fail,2024-03-20
187,Rabia Sheikh,Female,Multan,Public,No,Primary,Yes,Volunteer Work,Rural,Urdu Medium,Cambridge System,Walking,93,22,3.19,54.88,89.65,41,47,Pass,2023-11-04
188,Saba Shah,Female,Quetta,Home Schooling,No,Masters,No,Multiple Activities,Urban,English Medium,Cambridge System,School Bus,91,21,3.47,89.73,52.66,40,91,Pass,2025-02-15
189,Ahmed Awan,Male,Islamabad,Madrasa,Yes,Uneducated,No,Arts Society,Urban,English Medium,Sindh Board,Public Transport,82,3,2.45,78.69,76.18,62,75,Fail,2023-11-17
190,Hamza Raza,Male,Faisalabad,Private,No,Masters,Yes,None,Rural,English Medium,Sindh Board,School Bus,66,28,2.1,68.08,77.51,95,50,Fail,2025-09-16
191,Ahmed Qureshi,Male,Islamabad,Home Schooling,No,PhD,No,None,Urban,Urdu Medium,Cambridge System,Walking,59,17,2.62,73.33,42.03,93,46,Fail,2025-07-17
192,Rehan Awan,Male,Karachi,Private,Yes,Matric,Yes,None,Rural,Urdu Medium,Federal Board,School Bus,76,19,2.17,88.04,75.66,86,66,Fail,2024-12-26
193,Mehak Awan,Female,Rawalpindi,Private,No,Matric,No,Sports,Urban,English Medium,Federal Board,School Bus,63,6,3.08,83.11,53.34,74,94,Pass,2025-05-11
194,Sana Awan,Female,Multan,Home Schooling,Yes,PhD,No,Sports,Rural,Urdu Medium,Punjab Board,School Bus,83,12,2.04,75.37,82.08,93,73,Pass,2024-05-04
195,Saba Chaudhry,Female,Islamabad,Home Schooling,Yes,Bachelors,Yes,Volunteer Work,Urban,English Medium,Sindh Board,Public Transport,97,11,2.59,93.28,68.59,76,44,Fail,2023-09-01
196,Zainab Iqbal,Female,Peshawar,Madrasa,No,PhD,No,Multiple Activities,Urban,English Medium,Sindh Board,Public Transport,62,16,3.07,89.23,64.33,64,45,Pass,2024-01-04
197,Omer Chaudhry,Male,Sialkot,Public,Yes,Bachelors,Yes,Volunteer Work,Urban,Urdu Medium,Punjab Board,School Bus,58,8,2.48,83.4,66.92,87,46,Pass,2024-02-22
198,Amna Butt,Female,Gujranwala,Public,No,Uneducated,Yes,Arts Society,Urban,English Medium,Punjab Board,Walking,76,20,3.5,74.9,69.15,78,71,Fail,2023-02-21
199,Hira Awan,Female,Rawalpindi,Madrasa,No,Masters,No,None,Rural,English Medium,Punjab Board,School Bus,77,12,2.35,58.17,75.39,44,55,Pass,2023-11-04
200,Nimra Sheikh,Female,Rawalpindi,Public,No,Matric,No,Arts Society,Urban,English Medium,Punjab Board,School Bus,84,20,2.45,91.55,67.24,96,44,Pass,2024-02-03
201,Zainab Qureshi,Female,Lahore,Home Schooling,Yes,Intermediate,No,Multiple Activities,Rural,English Medium,Sindh Board,Walking,96,13,2.57,65.69,45.65,97,84,Pass,2024-06-23
202,Ayesha Khan,Female,Quetta,Madrasa,No,Masters,No,Volunteer Work,Rural,Urdu Medium,Sindh Board,Public Transport,78,12,3.55,60.45,54.16,70,93,Fail,2023-12-15
203,Talha Qureshi,Male,Islamabad,Home Schooling,Yes,Bachelors,No,Arts Society,Urban,English Medium,Cambridge System,Public Transport,97,15,3.11,76.64,70.08,78,100,Fail,2023-01-04
204,Mehak Raza,Female,Peshawar,Home Schooling,Yes,Primary,Yes,None,Rural,English Medium,Punjab Board,Public Transport,63,21,2.34,45.82,40.08,58,79,Fail,2025-05-29
205,Shayan Khan,Male,Multan,Public,Yes,Primary,No,Debate Club,Rural,Urdu Medium,Punjab Board,Walking,80,6,2.94,81.36,69.59,81,76,Pass,2025-05-24
206,Zain Sheikh,Male,Lahore,Home Schooling,No,Masters,Yes,Volunteer Work,Urban,English Medium,Punjab Board,Own Vehicle,93,18,3.43,52.69,79.61,92,54,Pass,2025-04-01
207,Adeel Khan,Male,Gujranwala,Private,Yes,Bachelors,Yes,Volunteer Work,Urban,Urdu Medium,Cambridge System,Own Vehicle,96,22,2.19,66.7,62.43,48,73,Fail,2023-01-22
208,Sana Chaudhry,Female,Faisalabad,Private,Yes,Uneducated,No,Volunteer Work,Urban,English Medium,Sindh Board,School Bus,63,29,2.42,60.09,73.99,50,57,Fail,2024-12-26
209,Hira Chaudhry,Female,Karachi,Home Schooling,No,Matric,No,Sports,Urban,English Medium,Federal Board,Public Transport,77,12,3.42,92.62,66.31,78,57,Pass,2025-06-04
210,Hamza Awan,Male,Multan,Private,Yes,Primary,No,Debate Club,Urban,Urdu Medium,Federal Board,School Bus,66,23,2.79,57.09,88.24,100,54,Fail,2025-03-21
211,Sara Shah,Female,Lahore,Public,Yes,Bachelors,Yes,Sports,Urban,English Medium,Punjab Board,School Bus,89,30,3.04,86.52,89.47,55,97,Fail,2025-09-10
212,Rabia Raza,Female,Multan,Public,No,Uneducated,Yes,Arts Society,Rural,English Medium,Punjab Board,Public Transport,100,11,2.95,72.88,68.39,74,64,Fail,2024-05-30
213,Usman Qureshi,Male,Gujranwala,Madrasa,Yes,Bachelors,Yes,Volunteer Work,Urban,Urdu Medium,Federal Board,School Bus,82,25,3.58,62.86,89.92,87,89,Fail,2025-05-23
214,Maryam Malik,Female,Quetta,Madrasa,No,Intermediate,No,Sports,Rural,English Medium,Federal Board,Walking,99,25,3.22,58.32,87.94,77,92,Fail,2024-10-03
215,Omer Butt,Male,Quetta,Public,No,Intermediate,Yes,Multiple Activities,Urban,Urdu Medium,Punjab Board,Walking,79,17,3.79,68.23,64.6,93,89,Fail,2024-05-10
216,Shayan Malik,Male,Sialkot,Madrasa,Yes,Matric,Yes,Sports,Urban,English Medium,Cambridge System,Public Transport,98,30,3.56,82.83,40.41,99,57,Fail,2023-11-21
217,Talha Chaudhry,Male,Quetta,Private,Yes,Bachelors,No,Arts Society,Urban,English Medium,Cambridge System,Own Vehicle,78,30,2.12,80.92,45.21,70,83,Fail,2024-05-10
218,Bushra Iqbal,Female,Karachi,Madrasa,No,Primary,No,Debate Club,Rural,English Medium,Sindh Board,Walking,99,10,2.46,50.36,70.22,97,61,Pass,2023-11-20
219,Noor Qureshi,Female,Sialkot,Madrasa,Yes,Masters,Yes,Multiple Activities,Urban,English Medium,Sindh Board,Walking,76,18,3.16,58.15,80.15,60,51,Fail,2023-11-18
220,Talha Malik,Male,Karachi,Private,Yes,Matric,Yes,Multiple Activities,Urban,Urdu Medium,Federal Board,Own Vehicle,100,18,3.67,86.3,61.1,90,93,Fail,2023-11-24
221,Hira Shah,Female,Quetta,Private,Yes,Matric,No,None,Urban,English Medium,Cambridge System,Walking,86,16,2.85,93.03,78.76,70,94,Fail,2023-10-09
222,Adnan Iqbal,Male,Karachi,Public,No,Intermediate,No,Volunteer Work,Rural,English Medium,Sindh Board,Walking,82,28,3.38,66.49,81.15,57,82,Fail,2025-09-07
223,Zeeshan Khan,Male,Faisalabad,Private,Yes,Masters,Yes,Multiple Activities,Urban,Urdu Medium,Federal Board,School Bus,72,11,2.79,85.31,48.11,59,40,Pass,2023-07-14
224,Kiran Iqbal,Female,Gujranwala,Public,No,Matric,No,Volunteer Work,Urban,Urdu Medium,Punjab Board,Walking,61,16,2.39,60.11,70.95,62,92,Fail,2024-08-22
225,Fatima Shah,Female,Quetta,Home Schooling,Yes,PhD,Yes,Multiple Activities,Rural,English Medium,Cambridge System,Own Vehicle,86,14,3.66,49.04,61.88,68,59,Pass,2023-09-27
226,Saba Iqbal,Female,Quetta,Home Schooling,Yes,Masters,Yes,Debate Club,Rural,Urdu Medium,Punjab Board,Own Vehicle,78,6,2.85,89.61,59.5,44,95,Pass,2025-08-23
227,Amna Qureshi,Female,Lahore,Madrasa,Yes,Intermediate,No,None,Urban,English Medium,Sindh Board,Public Transport,82,2,3.38,52.08,80.86,97,44,Pass,2024-03-02
228,Alina Khan,Female,Sialkot,Madrasa,No,Matric,Yes,Debate Club,Urban,English Medium,Cambridge System,Public Transport,99,27,2.22,91.59,77.62,49,91,Pass,2023-06-27
229,Ayesha Shah,Female,Islamabad,Public,Yes,Masters,No,Multiple Activities,Urban,English Medium,Punjab Board,Walking,96,18,3.9,79.2,49.94,66,63,Pass,2024-09-11
230,Mehak Shah,Female,Islamabad,Home Schooling,Yes,Masters,Yes,None,Urban,Urdu Medium,Federal Board,Public Transport,86,8,2.12,69.15,72.77,81,50,Pass,2025-05-15
231,Ayesha Sheikh,Female,Multan,Home Schooling,Yes,PhD,No,Arts Society,Urban,English Medium,Sindh Board,Public Transport,80,22,3.02,48.51,62.29,43,78,Pass,2023-04-18
232,Bushra Chaudhry,Female,Gujranwala,Madrasa,Yes,Uneducated,No,Multiple Activities,Urban,English Medium,Punjab Board,Own Vehicle,95,14,2.55,76.45,54.68,100,88,Pass,2025-09-25
233,Ali Raza,Male,Islamabad,Home Schooling,Yes,Bachelors,No,Arts Society,Rural,English Medium,Cambridge System,School Bus,61,14,3.69,45.53,55.97,82,48,Fail,2025-06-28
234,Bilal Awan,Male,Lahore,Public,No,Matric,Yes,Multiple Activities,Rural,Urdu Medium,Federal Board,Walking,87,20,2.55,81.61,46.32,69,44,Pass,2025-06-14
235,Saad Chaudhry,Male,Peshawar,Public,No,Primary,No,Debate Club,Urban,English Medium,Cambridge System,Own Vehicle,84,29,3.12,53.14,79.86,51,62,Fail,2024-02-01
236,Bushra Butt,Female,Peshawar,Public,Yes,Primary,No,Debate Club,Rural,English Medium,Punjab Board,Public Transport,62,17,3.6,79.51,40.81,40,92,Fail,2024-03-16
237,Adnan Raza,Male,Multan,Home Schooling,Yes,Matric,Yes,Arts Society,Rural,Urdu Medium,Federal Board,School Bus,78,6,2.04,79.1,66.05,90,93,Fail,2023-05-14
238,Kiran Khan,Female,Peshawar,Home Schooling,No,Uneducated,No,None,Rural,English Medium,Cambridge System,Public Transport,64,27,3.97,89.46,78.63,53,89,Fail,2023-02-01
239,Hira Chaudhry,Female,Karachi,Private,Yes,Masters,No,Multiple Activities,Rural,Urdu Medium,Punjab Board,School Bus,65,14,2.97,72.78,82.49,75,50,Pass,2024-02-17
240,Hira Qureshi,Female,Rawalpindi,Madrasa,No,PhD,No,Volunteer Work,Urban,Urdu Medium,Cambridge System,Public Transport,99,30,3.72,86.01,55.09,86,50,Pass,2024-08-27
241,Bilal Butt,Male,Gujranwala,Private,Yes,PhD,No,Volunteer Work,Urban,English Medium,Cambridge System,School Bus,92,2,2.76,45.98,67.61,66,64,Fail,2024-06-24
242,Laiba Sheikh,Female,Sialkot,Public,Yes,Primary,No,None,Rural,English Medium,Federal Board,School Bus,77,24,3.05,55.84,74.51,98,61,Fail,2023-09-02
243,Shayan Qureshi,Male,Multan,Home Schooling,No,Matric,No,Multiple Activities,Urban,Urdu Medium,Sindh Board,Public Transport,69,11,3.3,90.18,55.58,80,84,Fail,2023-01-15
244,Amna Chaudhry,Female,Rawalpindi,Public,No,Uneducated,Yes,Arts Society,Urban,English Medium,Punjab Board,Public Transport,88,5,3.62,55.37,72.24,74,44,Fail,2024-06-21
245,Farhan Malik,Male,Multan,Home Schooling,No,Intermediate,Yes,Sports,Urban,Urdu Medium,Federal Board,Own Vehicle,65,13,3.74,66.54,59.2,90,78,Pass,2023-06-23
246,Sana Malik,Female,Islamabad,Private,Yes,Masters,Yes,Debate Club,Rural,Urdu Medium,Cambridge System,Walking,55,4,2.34,64.53,84.54,69,81,Pass,2024-07-09
247,Nimra Iqbal,Female,Faisalabad,Public,No,PhD,Yes,None,Rural,English Medium,Punjab Board,School Bus,73,28,3.61,48.48,71.02,98,69,Fail,2023-06-23
248,Sana Iqbal,Female,Sialkot,Madrasa,Yes,Bachelors,Yes,Multiple Activities,Urban,Urdu Medium,Sindh Board,School Bus,55,10,2.16,56.26,79.81,73,88,Pass,2025-07-13
249,Maha Chaudhry,Female,Gujranwala,Private,Yes,Uneducated,Yes,Multiple Activities,Rural,Urdu Medium,Sindh Board,Walking,65,5,3.97,71.66,80.21,93,89,Fail,2025-11-30
250,Hira Awan,Female,Islamabad,Madrasa,Yes,Primary,Yes,Volunteer Work,Rural,Urdu Medium,Federal Board,Walking,67,3,3.19,50.41,58.53,51,81,Pass,2024-11-14
251,Adnan Qureshi,Male,Islamabad,Home Schooling,No,Masters,Yes,None,Urban,Urdu Medium,Sindh Board,Walking,65,11,3.76,50.69,65.12,85,59,Pass,2025-11-01
252,Rabia Raza,Female,Islamabad,Private,Yes,Bachelors,No,Debate Club,Rural,English Medium,Punjab Board,Walking,99,14,3.51,45.03,85.32,57,64,Fail,2025-11-01
253,Amna Shah,Female,Karachi,Private,Yes,PhD,Yes,Arts Society,Urban,Urdu Medium,Sindh Board,School Bus,86,11,3.79,79.07,59.36,54,86,Fail,2025-02-16
254,Talha Iqbal,Male,Gujranwala,Private,Yes,Matric,No,Arts Society,Urban,Urdu Medium,Cambridge System,School Bus,75,10,3.78,81.09,66.13,52,98,Pass,2024-05-21
255,Maryam Khan,Female,Faisalabad,Madrasa,Yes,Intermediate,No,Sports,Rural,English Medium,Federal Board,Own Vehicle,69,9,3.09,62.74,80.09,81,41,Pass,2025-01-18
256,Zain Malik,Male,Multan,Public,Yes,Intermediate,No,Debate Club,Rural,Urdu Medium,Sindh Board,Walking,67,8,2.82,69.43,72.43,57,75,Fail,2025-10-28
257,Saba Raza,Female,Peshawar,Public,No,Matric,No,None,Urban,English Medium,Punjab Board,School Bus,74,25,3.96,48.68,74.99,93,63,Fail,2023-09-28
258,Ali Qureshi,Male,Islamabad,Public,Yes,PhD,No,Debate Club,Urban,Urdu Medium,Punjab Board,Walking,64,28,3.77,74.46,88.53,79,100,Pass,2025-06-28
259,Kamran Raza,Male,Peshawar,Private,Yes,PhD,No,Volunteer Work,Rural,Urdu Medium,Federal Board,Public Transport,62,14,3.43,65.01,69.06,60,60,Fail,2024-08-05
260,Laiba Malik,Female,Lahore,Madrasa,Yes,Intermediate,No,None,Urban,Urdu Medium,Federal Board,Public Transport,97,29,2.68,74.65,52.19,64,85,Fail,2025-05-17
261,Maha Iqbal,Female,Lahore,Public,No,Primary,Yes,Multiple Activities,Urban,English Medium,Cambridge System,Own Vehicle,80,11,2.42,67.35,56.32,82,47,Pass,2025-11-03
262,Shayan Awan,Male,Rawalpindi,Private,No,Bachelors,No,Multiple Activities,Rural,English Medium,Sindh Board,Walking,70,12,3.77,50.56,67.05,88,95,Fail,2023-10-09
263,Bushra Malik,Female,Rawalpindi,Public,No,Matric,No,Volunteer Work,Urban,Urdu Medium,Cambridge System,Own Vehicle,76,9,2.16,71.66,82.03,53,78,Pass,2024-01-08
264,Danish Shah,Male,Sialkot,Private,No,PhD,No,Arts Society,Rural,English Medium,Sindh Board,School Bus,58,25,3.07,47.94,77.63,77,48,Fail,2024-03-11
265,Bushra Khan,Female,Quetta,Home Schooling,No,Bachelors,No,Volunteer Work,Rural,Urdu Medium,Cambridge System,Walking,94,30,2.32,74.25,48.3,59,46,Pass,2023-12-19
266,Zain Iqbal,Male,Lahore,Public,No,Matric,No,None,Rural,English Medium,Punjab Board,School Bus,57,3,3.69,70.18,44.29,72,87,Pass,2023-11-04
267,Sana Iqbal,Female,Rawalpindi,Madrasa,Yes,PhD,Yes,None,Rural,English Medium,Federal Board,Own Vehicle,97,17,2.23,87.05,75.7,75,95,Fail,2025-09-24
268,Zain Malik,Male,Sialkot,Madrasa,Yes,Matric,Yes,Multiple Activities,Urban,Urdu Medium,Cambridge System,School Bus,100,20,3.9,51.01,70.0,74,86,Pass,2024-04-14
269,Fatima Shah,Female,Multan,Madrasa,Yes,Masters,Yes,Debate Club,Urban,Urdu Medium,Federal Board,Public Transport,88,7,3.31,65.51,86.2,46,68,Pass,2024-02-14
270,Adnan Butt,Male,Sialkot,Home Schooling,Yes,Bachelors,Yes,None,Rural,English Medium,Punjab Board,Public Transport,92,11,2.1,57.89,52.57,66,53,Pass,2023-09-04
271,Omer Awan,Male,Lahore,Private,Yes,PhD,No,Sports,Urban,English Medium,Punjab Board,Own Vehicle,89,20,2.25,91.64,74.27,51,73,Fail,2025-06-24
272,Maryam Awan,Female,Gujranwala,Private,No,Matric,Yes,Multiple Activities,Urban,Urdu Medium,Punjab Board,Own Vehicle,78,11,3.34,60.4,79.36,63,47,Pass,2023-09-09
273,Adeel Malik,Male,Karachi,Public,Yes,Masters,No,Sports,Rural,English Medium,Sindh Board,School Bus,92,25,3.25,63.83,63.29,55,71,Fail,2023-08-17
274,Hamza Sheikh,Male,Karachi,Madrasa,Yes,Uneducated,No,Multiple Activities,Urban,English Medium,Sindh Board,Own Vehicle,75,19,3.6,64.87,79.54,84,46,Pass,2024-01-29
275,Laiba Iqbal,Female,Lahore,Madrasa,Yes,PhD,No,Volunteer Work,Rural,English Medium,Federal Board,School Bus,74,16,3.94,59.49,41.07,79,50,Fail,2024-08-29
276,Shayan Butt,Male,Gujranwala,Home Schooling,No,Uneducated,Yes,Volunteer Work,Urban,Urdu Medium,Punjab Board,School Bus,57,9,3.82,81.32,65.88,68,89,Fail,2023-06-19
277,Sana Chaudhry,Female,Rawalpindi,Public,Yes,Uneducated,No,Multiple Activities,Rural,English Medium,Federal Board,Walking,66,4,3.36,86.94,50.41,89,81,Fail,2024-03-13
278,Hamza Raza,Male,Peshawar,Public,No,Bachelors,No,Arts Society,Rural,English Medium,Cambridge System,Walking,74,28,2.93,60.65,77.99,86,64,Pass,2023-03-27
279,Hamza Shah,Male,Quetta,Madrasa,No,Primary,Yes,None,Rural,English Medium,Sindh Board,School Bus,72,23,2.33,87.53,76.21,77,43,Fail,2025-04-08
280,Sara Sheikh,Female,Karachi,Home Schooling,Yes,Intermediate,No,Volunteer Work,Rural,English Medium,Punjab Board,Public Transport,55,30,2.32,94.22,61.07,86,91,Fail,2025-09-11
281,Ali Khan,Male,Rawalpindi,Madrasa,No,Intermediate,Yes,Multiple Activities,Urban,Urdu Medium,Punjab Board,Walking,89,26,3.39,56.61,80.48,66,90,Pass,2024-11-24
282,Usman Raza,Male,Peshawar,Public,No,Bachelors,Yes,Multiple Activities,Rural,English Medium,Punjab Board,Own Vehicle,85,3,3.35,81.19,52.87,60,63,Pass,2023-01-08
283,Bushra Chaudhry,Female,Karachi,Private,No,Primary,Yes,Multiple Activities,Rural,Urdu Medium,Punjab Board,Walking,86,6,2.97,72.73,78.69,45,58,Fail,2023-10-21
284,Shayan Khan,Male,Rawalpindi,Public,Yes,Uneducated,Yes,Volunteer Work,Urban,English Medium,Federal Board,School Bus,72,8,3.44,72.86,44.3,43,65,Fail,2025-02-11
285,Mehak Iqbal,Female,Sialkot,Home Schooling,Yes,PhD,Yes,Sports,Rural,English Medium,Punjab Board,Public Transport,60,27,3.42,63.66,89.33,60,100,Fail,2024-04-28
286,Adeel Butt,Male,Lahore,Home Schooling,No,PhD,Yes,Debate Club,Rural,English Medium,Punjab Board,Public Transport,76,22,2.43,75.66,66.12,44,95,Fail,2023-03-15
287,Nimra Iqbal,Female,Faisalabad,Home Schooling,No,Uneducated,No,Debate Club,Rural,Urdu Medium,Sindh Board,Walking,84,27,3.69,83.99,68.29,75,66,Pass,2024-09-03
288,Nimra Iqbal,Female,Islamabad,Public,Yes,Masters,Yes,Arts Society,Rural,English Medium,Cambridge System,School Bus,61,4,3.18,69.62,81.06,42,99,Fail,2025-09-01
289,Hamza Chaudhry,Male,Multan,Madrasa,No,Matric,Yes,Volunteer Work,Urban,Urdu Medium,Cambridge System,School Bus,71,23,3.83,51.98,88.95,68,88,Pass,2023-10-30
290,Maryam Khan,Female,Karachi,Public,No,Matric,Yes,Volunteer Work,Urban,English Medium,Cambridge System,Public Transport,64,20,3.07,58.62,87.71,40,60,Fail,2024-05-05
291,Amna Butt,Female,Lahore,Home Schooling,No,Masters,Yes,Arts Society,Urban,English Medium,Cambridge System,Walking,55,4,3.77,79.15,84.31,51,69,Pass,2023-04-30
